====== H (10) into Gold+Cr+Si                   =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer  1 : Gold
Layer Width = 10000.E-01 AAA ;
  Layer # 1- Density = 5.903E22 atoms/cm3 = 19.31 g/cm3
  Layer # 1- Au = 100  Atomic Percent = 100  Mass Percent
Layer  2 : Cr
Layer Width = 50000.E-03 AAA ;
  Layer # 2- Density = 8.338E22 atoms/cm3 = 7.2 g/cm3
  Layer # 2- Cr = 100  Atomic Percent = 100  Mass Percent
Layer  3 : Si
Layer Width = 50000.E+02 AAA ;
  Layer # 3- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 3- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =100000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     Absorbed     
   (Ang.)       IONS       by  Au       by  Cr       by  Si       
----------   ------------  -----------  -----------  -----------  
200100.E-04  1144.68E-04  1173.69E-04  0000.00E+00  0000.00E+00  
400100.E-04  1218.69E-04  1248.19E-04  0000.00E+00  0000.00E+00  
600100.E-04  1253.20E-04  1291.78E-04  0000.00E+00  0000.00E+00  
800100.E-04  1298.61E-04  1348.78E-04  0000.00E+00  0000.00E+00  
100010.E-03  1339.38E-04  1402.04E-04  0000.00E+00  0000.00E+00  
120010.E-03  1387.64E-04  1464.08E-04  0000.00E+00  0000.00E+00  
140010.E-03  1449.49E-04  1542.58E-04  0000.00E+00  0000.00E+00  
160010.E-03  1482.73E-04  1593.39E-04  0000.00E+00  0000.00E+00  
180010.E-03  1550.07E-04  1648.75E-04  0000.00E+00  0000.00E+00  
200010.E-03  1604.13E-04  1696.94E-04  0000.00E+00  0000.00E+00  
220010.E-03  1638.24E-04  1737.58E-04  0000.00E+00  0000.00E+00  
240010.E-03  1621.75E-04  1726.47E-04  0000.00E+00  0000.00E+00  
260010.E-03  1623.14E-04  1729.68E-04  0000.00E+00  0000.00E+00  
280010.E-03  1624.73E-04  1733.00E-04  0000.00E+00  0000.00E+00  
300010.E-03  1610.52E-04  1718.46E-04  0000.00E+00  0000.00E+00  
320010.E-03  1567.56E-04  1673.82E-04  0000.00E+00  0000.00E+00  
340010.E-03  1512.17E-04  1615.62E-04  0000.00E+00  0000.00E+00  
360010.E-03  1458.01E-04  1559.70E-04  0000.00E+00  0000.00E+00  
380010.E-03  1409.51E-04  1510.46E-04  0000.00E+00  0000.00E+00  
400010.E-03  1345.43E-04  1442.33E-04  0000.00E+00  0000.00E+00  
420010.E-03  1277.95E-04  1371.38E-04  0000.00E+00  0000.00E+00  
440010.E-03  1208.79E-04  1297.46E-04  0000.00E+00  0000.00E+00  
460010.E-03  1118.04E-04  1202.13E-04  0000.00E+00  0000.00E+00  
480010.E-03  1037.11E-04  1116.34E-04  0000.00E+00  0000.00E+00  
500010.E-03  9607.50E-05  1036.88E-04  0000.00E+00  0000.00E+00  
520010.E-03  8838.00E-05  9536.85E-05  0000.00E+00  0000.00E+00  
