 Depth/ang         FR
 20.010000   0.002794
 40.010000   0.003209
 60.010000   0.004297
 80.010000   0.005766
100.010000   0.007183
120.010000   0.008764
140.010000   0.010605
160.010000   0.012445
180.010000   0.010903
200.010000   0.010307
220.010000   0.011082
240.010000   0.011420
260.010000   0.011733
280.010000   0.011789
300.010000   0.011790
320.010000   0.011513
340.010000   0.011153
360.010000   0.010893
380.010000   0.010844
400.010000   0.010318
420.010000   0.010115
440.010000   0.009558
460.010000   0.009004
480.010000   0.008698
500.010000   0.008265
520.010000   0.007746
540.010000   0.007350
560.010000   0.006834
580.010000   0.006279
600.010000   0.005976
620.010000   0.005669
640.010000   0.005139
660.010000   0.004853
680.010000   0.004461
700.010000   0.004110
720.010000   0.003873
740.010000   0.003392
760.010000   0.003101
780.010000   0.002739
800.010000   0.002514
820.010000   0.002295
840.010000   0.001985
860.010000   0.001813
880.010000   0.001595
900.010000   0.001422
920.010000   0.001238
940.010000   0.001142
960.010000   0.000982
980.010000   0.000880
1000.010000   0.000528
1020.010000   0.000644
1040.010000   0.000760
1060.010000   0.001017
1080.010000   0.000750
1100.010000   0.000812
1120.010000   0.000916
1140.010000   0.000848
1160.010000   0.000858
1180.010000   0.000785
1200.010000   0.000806
1220.010000   0.000765
1240.010000   0.000722
1260.010000   0.000711
1280.010000   0.000582
1300.010000   0.000636
1320.010000   0.000540
1340.010000   0.000559
1360.010000   0.000480
1380.010000   0.000406
1400.010000   0.000407
1420.010000   0.000373
1440.010000   0.000280
1460.010000   0.000351
1480.010000   0.000260
1500.010000   0.000290
1520.010000   0.000224
1540.010000   0.000237
1560.010000   0.000196
1580.010000   0.000198
1600.010000   0.000198
1620.010000   0.000149
1640.010000   0.000200
1660.010000   0.000133
1680.010000   0.000114
1700.010000   0.000126
1720.010000   0.000099
1740.010000   0.000075
1760.010000   0.000073
1780.010000   0.000075
1800.010000   0.000070
1820.010000   0.000052
1840.010000   0.000068
1860.010000   0.000068
1880.010000   0.000046
1900.010000   0.000051
1920.010000   0.000026
1940.010000   0.000040
1960.010000   0.000043
1980.010000   0.000034
2000.010000   0.000034
