 Depth/ang         FR
 20.010000   0.167666
 40.010000   0.192568
 60.010000   0.257827
 80.010000   0.345945
100.010000   0.431000
120.010000   0.525861
140.010000   0.636322
160.010000   0.746682
180.010000   0.654160
200.010000   0.618443
220.010000   0.664936
240.010000   0.685210
260.010000   0.703960
280.010000   0.707364
300.010000   0.707415
320.010000   0.690750
340.010000   0.669157
360.010000   0.653558
380.010000   0.650613
400.010000   0.619110
420.010000   0.606918
440.010000   0.573484
460.010000   0.540257
480.010000   0.521863
500.010000   0.495899
520.010000   0.464755
540.010000   0.441026
560.010000   0.410033
580.010000   0.376751
600.010000   0.358557
620.010000   0.340158
640.010000   0.308342
660.010000   0.291164
680.010000   0.267683
700.010000   0.246592
720.010000   0.232362
740.010000   0.203493
760.010000   0.186059
780.010000   0.164358
800.010000   0.150839
820.010000   0.137675
840.010000   0.119124
860.010000   0.108808
880.010000   0.095697
900.010000   0.085329
920.010000   0.074250
940.010000   0.068507
960.010000   0.058902
980.010000   0.052804
1000.010000   0.031694
1020.010000   0.038638
1040.010000   0.045581
1060.010000   0.061000
1080.010000   0.045027
1100.010000   0.048704
1120.010000   0.054973
1140.010000   0.050874
1160.010000   0.051477
1180.010000   0.047076
1200.010000   0.048342
1220.010000   0.045871
1240.010000   0.043339
1260.010000   0.042676
1280.010000   0.034900
1300.010000   0.038155
1320.010000   0.032429
1340.010000   0.033514
1360.010000   0.028813
1380.010000   0.024352
1400.010000   0.024412
1420.010000   0.022363
1440.010000   0.016817
1460.010000   0.021037
1480.010000   0.015612
1500.010000   0.017420
1520.010000   0.013442
1540.010000   0.014225
1560.010000   0.011754
1580.010000   0.011875
1600.010000   0.011875
1620.010000   0.008921
1640.010000   0.011995
1660.010000   0.007957
1680.010000   0.006811
1700.010000   0.007535
1720.010000   0.005967
1740.010000   0.004521
1760.010000   0.004400
1780.010000   0.004521
1800.010000   0.004219
1820.010000   0.003134
1840.010000   0.004099
1860.010000   0.004099
1880.010000   0.002773
1900.010000   0.003074
1920.010000   0.001567
1940.010000   0.002411
1960.010000   0.002592
1980.010000   0.002049
2000.010000   0.002049
