====== H (10) into Gold+Cr+Si                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer 1 : Gold
Layer Width = 10000.E-01 A ;
  Layer # 1- Density = 5.903E22 atoms/cm3 = 19.31 g/cm3
  Layer # 1- Au = 100  Atomic Percent = 100  Mass Percent
Layer 2 : Cr
Layer Width = 50000.E-03 A ;
  Layer # 2- Density = 8.338E22 atoms/cm3 = 7.2 g/cm3
  Layer # 2- Cr = 100  Atomic Percent = 100  Mass Percent
Layer 3 : Si
Layer Width = 50000.E+02 A ;
  Layer # 3- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 3- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =100000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200100.E-04  1107.80E-02  4335.55E-05
400100.E-04  1171.36E-02  2320.34E-05
600100.E-04  1216.60E-02  2853.20E-05
800100.E-04  1274.39E-02  3622.92E-05
100010.E-03  1330.65E-02  4371.60E-05
120010.E-03  1392.23E-02  5201.90E-05
140010.E-03  1454.59E-02  6113.02E-05
160010.E-03  1512.34E-02  7087.60E-05
180010.E-03  1553.01E-02  6623.44E-05
200010.E-03  1574.31E-02  6510.94E-05
220010.E-03  1592.80E-02  6939.87E-05
240010.E-03  1605.55E-02  7162.54E-05
260010.E-03  1611.14E-02  7377.74E-05
280010.E-03  1603.76E-02  7457.40E-05
300010.E-03  1584.59E-02  7416.38E-05
320010.E-03  1553.36E-02  7387.38E-05
340010.E-03  1519.70E-02  7176.91E-05
360010.E-03  1473.45E-02  7128.47E-05
380010.E-03  1418.79E-02  7067.56E-05
400010.E-03  1365.87E-02  6797.09E-05
420010.E-03  1303.78E-02  6611.31E-05
440010.E-03  1241.41E-02  6410.42E-05
460010.E-03  1176.35E-02  6033.96E-05
480010.E-03  1112.79E-02  5880.73E-05
500010.E-03  1062.50E-02  5570.63E-05
520010.E-03  9906.03E-03  5246.40E-05
540010.E-03  9274.58E-03  5062.85E-05
560010.E-03  8699.85E-03  4677.91E-05
580010.E-03  8024.93E-03  4364.76E-05
600010.E-03  7534.98E-03  4148.63E-05
620010.E-03  6979.61E-03  3940.20E-05
640010.E-03  6473.32E-03  3613.29E-05
660010.E-03  5873.22E-03  3379.90E-05
680010.E-03  5427.56E-03  3097.49E-05
700010.E-03  4985.41E-03  2849.86E-05
720010.E-03  4481.81E-03  2640.57E-05
740010.E-03  4022.62E-03  2314.62E-05
760010.E-03  3659.33E-03  2116.09E-05
780010.E-03  3275.92E-03  1898.27E-05
800010.E-03  2902.27E-03  1726.95E-05
820010.E-03  2609.57E-03  1536.77E-05
840010.E-03  2315.92E-03  1311.71E-05
860010.E-03  2059.19E-03  1215.02E-05
880010.E-03  1813.32E-03  1069.54E-05
900010.E-03  1582.72E-03  9516.14E-06
920010.E-03  1382.52E-03  8442.96E-06
940010.E-03  1192.95E-03  7301.02E-06
960010.E-03  1048.83E-03  6565.05E-06
980010.E-03  8999.81E-04  5932.94E-06
100001.E-02  7127.04E-04  5319.50E-06
102001.E-02  5297.51E-04  3321.78E-06
104001.E-02  4747.59E-04  3874.94E-06
106001.E-02  3384.79E-04  3019.87E-06
108001.E-02  2363.74E-04  1837.27E-06
110001.E-02  2219.43E-04  1966.89E-06
112001.E-02  2036.07E-04  2235.99E-06
114001.E-02  1948.28E-04  2154.73E-06
116001.E-02  1805.88E-04  2148.70E-06
118001.E-02  1669.39E-04  2013.99E-06
120001.E-02  1555.17E-04  1996.46E-06
122001.E-02  1452.03E-04  2006.36E-06
124001.E-02  1340.67E-04  1836.90E-06
126001.E-02  1247.47E-04  1810.24E-06
128001.E-02  1164.79E-04  1420.71E-06
130001.E-02  1096.20E-04  1574.38E-06
132001.E-02  1009.05E-04  1375.01E-06
134001.E-02  9125.65E-05  1305.21E-06
136001.E-02  8341.53E-05  1143.36E-06
138001.E-02  7770.79E-05  1014.61E-06
140001.E-02  7101.09E-05  1011.28E-06
142001.E-02  6328.46E-05  8866.16E-07
144001.E-02  5939.38E-05  6756.75E-07
146001.E-02  5575.13E-05  8709.07E-07
148001.E-02  4964.97E-05  6415.25E-07
150001.E-02  4555.29E-05  7196.43E-07
152001.E-02  4319.88E-05  5508.97E-07
154001.E-02  3790.72E-05  4827.10E-07
156001.E-02  3398.26E-05  4547.12E-07
158001.E-02  3228.42E-05  4827.77E-07
160001.E-02  3000.32E-05  4417.05E-07
162001.E-02  2655.04E-05  3573.86E-07
164001.E-02  2420.45E-05  4670.34E-07
166001.E-02  2277.46E-05  2996.71E-07
168001.E-02  2186.12E-05  2834.71E-07
170001.E-02  1947.58E-05  3103.21E-07
172001.E-02  1738.43E-05  1889.62E-07
174001.E-02  1442.17E-05  1744.61E-07
176001.E-02  1243.98E-05  1648.81E-07
178001.E-02  1140.16E-05  1405.82E-07
180001.E-02  1227.24E-05  1606.37E-07
182001.E-02  1198.20E-05  1255.59E-07
184001.E-02  1018.70E-05  1513.86E-07
186001.E-02  8801.22E-06  1340.89E-07
188001.E-02  7169.06E-06  9679.01E-08
190001.E-02  6093.01E-06  1205.84E-07
192001.E-02  5966.36E-06  7546.39E-08
194001.E-02  5331.98E-06  9683.81E-08
196001.E-02  4747.50E-06  9721.52E-08
198001.E-02  4417.35E-06  7737.08E-08
200001.E-02  3462.72E-06  7054.72E-08
