====== H (10) into Gold+Cr+Si                   =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 10 keV
 Total Ions calculated =100000.00
============= TARGET MATERIAL ======================================
Layer  1 : Gold
Layer Width = 10000.E-01 AAA ;
  Layer # 1- Density = 5.903E22 atoms/cm3 = 19.31 g/cm3
  Layer # 1- Au = 100  Atomic Percent = 100  Mass Percent
Layer  2 : Cr
Layer Width = 50000.E-03 AAA ;
  Layer # 2- Density = 8.338E22 atoms/cm3 = 7.2 g/cm3
  Layer # 2- Cr = 100  Atomic Percent = 100  Mass Percent
Layer  3 : Si
Layer Width = 50000.E+02 AAA ;
  Layer # 3- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 3- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 531622.E-03 A   Straggling = 291628.E-03 A
 Ion Lateral Range = 291085.E-03 A   Straggling = 361490.E-03 A
 Ion Radial  Range = 457041.E-03 A   Straggling = 229204.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
2001000.E-05 31777010.E-05 38266392.E-05 48934223.E-05 23849726.E-05 
4001000.E-05 31838673.E-05 39247733.E-05 49208028.E-05 23153554.E-05 
6001000.E-05 30959953.E-05 38206542.E-05 49661065.E-05 22811687.E-05 
8001000.E-05 30371599.E-05 36857437.E-05 46945735.E-05 23009719.E-05 
1000100.E-04 28941937.E-05 36549409.E-05 46972693.E-05 23458445.E-05 
1200100.E-04 30670629.E-05 37741348.E-05 47794634.E-05 22940940.E-05 
1400100.E-04 30282969.E-05 37631774.E-05 48058107.E-05 23150871.E-05 
1600100.E-04 30470210.E-05 37612056.E-05 48107903.E-05 23043408.E-05 
1800100.E-04 30742182.E-05 37580477.E-05 48611259.E-05 23347527.E-05 
2000100.E-04 31161365.E-05 38159787.E-05 48560939.E-05 22787801.E-05 
2200100.E-04 31027899.E-05 38362063.E-05 48709945.E-05 23431450.E-05 
2400100.E-04 30006036.E-05 36741893.E-05 47638702.E-05 22429145.E-05 
2600100.E-04 30395304.E-05 37444745.E-05 47848423.E-05 22789904.E-05 
2800100.E-04 30851161.E-05 37802840.E-05 48568652.E-05 23447359.E-05 
3000100.E-04 31280946.E-05 38208793.E-05 49082865.E-05 23310728.E-05 
3200100.E-04 29896439.E-05 37007540.E-05 47694432.E-05 22762624.E-05 
3400100.E-04 29577586.E-05 36415463.E-05 46690754.E-05 22489798.E-05 
3600100.E-04 30559623.E-05 37585717.E-05 47184425.E-05 22900011.E-05 
3800100.E-04 30181792.E-05 37126982.E-05 47392999.E-05 22646110.E-05 
