====== H (10) into Gold+Cr+Si                   =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer  1 : Gold
Layer Width =     1.E+03 AAA ;
  Layer # 1- Density = 5.903E22 atoms/cm3 = 19.31 g/cm3
  Layer # 1- Au = 100  Atomic Percent = 100  Mass Percent
Layer  2 : Cr
Layer Width =     5.E+01 AAA ;
  Layer # 2- Density = 8.338E22 atoms/cm3 = 7.2 g/cm3
  Layer # 2- Cr = 100  Atomic Percent = 100  Mass Percent
Layer  3 : Si
Layer Width =     5.E+06 AAA ;
  Layer # 3- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 3- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =100000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200100.E-04  108189.E-06  745324.E-07
400100.E-04  117279.E-06  960419.E-07
600100.E-04  123778.E-06  115984.E-06
800100.E-04  133312.E-06  144345.E-06
100010.E-03  142387.E-06  172811.E-06
120010.E-03  153709.E-06  206137.E-06
140010.E-03  165650.E-06  243434.E-06
160010.E-03  177773.E-06  283832.E-06
180010.E-03  189254.E-06  270093.E-06
200010.E-03  197094.E-06  268781.E-06
220010.E-03  204831.E-06  286048.E-06
240010.E-03  212130.E-06  296901.E-06
260010.E-03  219365.E-06  303735.E-06
280010.E-03  224994.E-06  307269.E-06
300010.E-03  227667.E-06  307014.E-06
320010.E-03  231855.E-06  305747.E-06
340010.E-03  233961.E-06  301233.E-06
360010.E-03  233643.E-06  298188.E-06
380010.E-03  232273.E-06  294450.E-06
400010.E-03  229790.E-06  286947.E-06
420010.E-03  227665.E-06  279629.E-06
440010.E-03  225202.E-06  268705.E-06
460010.E-03  220184.E-06  256545.E-06
480010.E-03  214847.E-06  245381.E-06
500010.E-03  209802.E-06  235468.E-06
520010.E-03  204452.E-06  222006.E-06
540010.E-03  198608.E-06  212886.E-06
560010.E-03  189681.E-06  197341.E-06
580010.E-03  182091.E-06  184339.E-06
600010.E-03  174472.E-06  172791.E-06
620010.E-03  166996.E-06  165112.E-06
640010.E-03  157844.E-06  149865.E-06
660010.E-03  148846.E-06  139509.E-06
680010.E-03  139404.E-06  127921.E-06
700010.E-03  131620.E-06  116700.E-06
720010.E-03  122421.E-06  109197.E-06
740010.E-03  112619.E-06  959030.E-07
760010.E-03  103013.E-06  872040.E-07
780010.E-03  952618.E-07  779398.E-07
800010.E-03  862619.E-07  701525.E-07
820010.E-03  780295.E-07  624441.E-07
840010.E-03  707907.E-07  535980.E-07
860010.E-03  637696.E-07  490835.E-07
880010.E-03  571888.E-07  431008.E-07
900010.E-03  504836.E-07  384399.E-07
920010.E-03  449882.E-07  332159.E-07
940010.E-03  391509.E-07  293308.E-07
960010.E-03  345808.E-07  263729.E-07
980010.E-03  305724.E-07  238326.E-07
100001.E-02  254713.E-07  224185.E-07
102001.E-02  264141.E-07  217481.E-07
104001.E-02  249148.E-07  260071.E-07
106001.E-02  156068.E-07  192204.E-07
108001.E-02  821830.E-08  867838.E-08
110001.E-02  740133.E-08  923494.E-08
112001.E-02  689835.E-08  995549.E-08
114001.E-02  651426.E-08  932246.E-08
116001.E-02  620740.E-08  959594.E-08
118001.E-02  594084.E-08  926443.E-08
120001.E-02  541501.E-08  854137.E-08
122001.E-02  535597.E-08  865909.E-08
124001.E-02  504963.E-08  769730.E-08
126001.E-02  465610.E-08  771796.E-08
128001.E-02  490893.E-08  682610.E-08
130001.E-02  446765.E-08  680366.E-08
132001.E-02  415910.E-08  610971.E-08
134001.E-02  391174.E-08  603306.E-08
136001.E-02  379827.E-08  513679.E-08
138001.E-02  342704.E-08  459890.E-08
140001.E-02  329563.E-08  458145.E-08
142001.E-02  295246.E-08  407203.E-08
144001.E-02  289273.E-08  331973.E-08
146001.E-02  273449.E-08  382602.E-08
148001.E-02  241764.E-08  297170.E-08
150001.E-02  204880.E-08  324375.E-08
152001.E-02  203833.E-08  272060.E-08
154001.E-02  177064.E-08  237984.E-08
156001.E-02  175112.E-08  218930.E-08
158001.E-02  158728.E-08  226150.E-08
160001.E-02  167033.E-08  210795.E-08
162001.E-02  137311.E-08  164862.E-08
164001.E-02  128653.E-08  201060.E-08
166001.E-02  125601.E-08  147040.E-08
168001.E-02  105562.E-08  131762.E-08
170001.E-02  953966.E-09  138513.E-08
172001.E-02  100297.E-08  110211.E-08
174001.E-02  812584.E-09  891027.E-09
176001.E-02  696835.E-09  848144.E-09
178001.E-02  632935.E-09  708715.E-09
180001.E-02  632969.E-09  791814.E-09
182001.E-02  616517.E-09  648976.E-09
184001.E-02  608382.E-09  709497.E-09
186001.E-02  471963.E-09  735319.E-09
188001.E-02  403070.E-09  491922.E-09
190001.E-02  394633.E-09  529312.E-09
192001.E-02  363702.E-09  413009.E-09
194001.E-02  286052.E-09  403564.E-09
196001.E-02  268340.E-09  450069.E-09
198001.E-02  269016.E-09  355357.E-09
200001.E-02  273041.E-09  370929.E-09
