====== H (10) into Gold+Cr+Si                   =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 10  keV
============= TARGET MATERIAL ======================================
Layer  1 : Gold
Layer Width =     1.E+03 A   Layer # 1- Density = 5.903E22 atoms/cm3 = 19.31 g/cm3
  Layer # 1- Au = 100  Atomic Percent = 100  Mass Percent
Layer  2 : Cr
Layer Width =     5.E+01 A   Layer # 2- Density = 8.338E22 atoms/cm3 = 7.2 g/cm3
  Layer # 2- Cr = 100  Atomic Percent = 100  Mass Percent
Layer  3 : Si
Layer Width =     5.E+06 A   Layer # 3- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 3- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =100000.00
 Ion Average Range =   531.6E+00 A   Straggling =   291.6E+00 A
 Ion Lateral Range =   291.1E+00 A   Straggling =   361.5E+00 A
 Ion Radial  Range =   457.0E+00 A   Straggling =   229.2E+00 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =15130
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = 000.9398  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 005.0871  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H         Au         Cr         Si    
   (Ang.)       Ions     Tgt. Atoms  Tgt. Atoms  Tgt. Atoms
-----------  ----------  ----------  ----------  ----------
200100.E-04  1.1700E+04  1.5936E+05  0.0000E+00  0.0000E+00
400100.E-04  2.5700E+04  1.8416E+05  0.0000E+00  0.0000E+00
600100.E-04  3.3850E+04  2.4741E+05  0.0000E+00  0.0000E+00
800100.E-04  4.5650E+04  3.3314E+05  0.0000E+00  0.0000E+00
100010.E-03  5.0750E+04  4.1482E+05  0.0000E+00  0.0000E+00
120010.E-03  5.5399E+04  5.1915E+05  0.0000E+00  0.0000E+00
140010.E-03  6.1699E+04  6.2682E+05  0.0000E+00  0.0000E+00
160010.E-03  6.8000E+04  7.4149E+05  0.0000E+00  0.0000E+00
180010.E-03  7.1300E+04  6.4392E+05  0.0000E+00  0.0000E+00
200010.E-03  8.0200E+04  5.8878E+05  0.0000E+00  0.0000E+00
220010.E-03  8.6001E+04  6.2957E+05  0.0000E+00  0.0000E+00
240010.E-03  8.8901E+04  6.5396E+05  0.0000E+00  0.0000E+00
260010.E-03  9.5201E+04  6.6981E+05  0.0000E+00  0.0000E+00
280010.E-03  9.4251E+04  6.7396E+05  0.0000E+00  0.0000E+00
300010.E-03  9.5751E+04  6.6866E+05  0.0000E+00  0.0000E+00
320010.E-03  1.0345E+05  6.3972E+05  0.0000E+00  0.0000E+00
340010.E-03  1.0580E+05  6.1677E+05  0.0000E+00  0.0000E+00
360010.E-03  1.0280E+05  6.0433E+05  0.0000E+00  0.0000E+00
380010.E-03  1.1240E+05  5.8643E+05  0.0000E+00  0.0000E+00
