====== H (10) into Gold+Cr+Si                   =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer  1 : Gold
Layer Width =     1.E+03 A ;
  Layer # 1- Density = 5.903E22 atoms/cm3 = 19.31 g/cm3
  Layer # 1- Au = 100  Atomic Percent = 100  Mass Percent
Layer  2 : Cr
Layer Width =     5.E+01 A ;
  Layer # 2- Density = 8.338E22 atoms/cm3 = 7.2 g/cm3
  Layer # 2- Cr = 100  Atomic Percent = 100  Mass Percent
Layer  3 : Si
Layer Width =     5.E+06 A ;
  Layer # 3- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 3- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =100000.00
 Total Target Vacancies     = 3 /Ion
 Total Target Displacements = 4 /Ion
 Total Target Replacement Collisions = 0 /Ion

!!!! NOTE : 2nd Column below is number of Primary Knock-Ons !!!!
           ( PKO are number of Target Atoms Recoiling from the Ion. )
==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET    
   DEPTH          H           Au           Cr           Si       
   (Ang.)     Knock-Ons    Vacancies    Vacancies    Vacancies   
-----------  -----------  -----------  -----------  -----------  
200100.E-04  9670.13E-07  1532.55E-06  0000.00E+00  0000.00E+00  
400100.E-04  9835.14E-07  1637.55E-06  0000.00E+00  0000.00E+00  
600100.E-04  1286.03E-06  2198.09E-06  0000.00E+00  0000.00E+00  
800100.E-04  1672.56E-06  2947.02E-06  0000.00E+00  0000.00E+00  
100010.E-03  2088.58E-06  3732.82E-06  0000.00E+00  0000.00E+00  
120010.E-03  2548.11E-06  4619.61E-06  0000.00E+00  0000.00E+00  
140010.E-03  3102.98E-06  5643.36E-06  0000.00E+00  0000.00E+00  
160010.E-03  3688.33E-06  6666.11E-06  0000.00E+00  0000.00E+00  
180010.E-03  3289.43E-06  5722.84E-06  0000.00E+00  0000.00E+00  
200010.E-03  3093.48E-06  5282.45E-06  0000.00E+00  0000.00E+00  
220010.E-03  3311.43E-06  5681.85E-06  0000.00E+00  0000.00E+00  
240010.E-03  3490.38E-06  5852.31E-06  0000.00E+00  0000.00E+00  
260010.E-03  3551.37E-06  5973.78E-06  0000.00E+00  0000.00E+00  
280010.E-03  3608.85E-06  6016.77E-06  0000.00E+00  0000.00E+00  
300010.E-03  3597.86E-06  6002.27E-06  0000.00E+00  0000.00E+00  
